"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductApi.cls","16","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductApi.cls","18","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","15","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","17","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","25","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","26","35","AvoidNonRestrictiveQueries","Avoid SOQL queries without a where or limit statement","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoidnonrestrictivequeries","Performance","pmd"
"7","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","44","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"8","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","44","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"9","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","46","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"10","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ProductProcessor.cls","46","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"11","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ScheduledProductSync.cls","15","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"12","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\ScheduledProductSync.cls","16","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\SyncProductCalloutJob.cls","16","8","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"14","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\SyncProductCalloutJob.cls","17","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","3","C:\Users\pc\Documents\work\codes\orgA\force-app\main\default\classes\SyncProductCalloutJob.cls","22","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
